video_id,comment_count,sentiment_mean,sentiment_median,sentiment_std,positive_ratio,negative_ratio,rating,revenue,success
RKizHjB_4HY,2,0.1567,0.1567,0.221607265223864,0.5,0.0,6.0,35.54,0
RYW47dArUgw,9,0.27346666666666664,0.2263,0.2956033617873789,0.5555555555555556,0.0,6.3,127.38,0
Scdd-AE1e2o,12,-0.119025,0.0,0.5157404053221137,0.25,0.3333333333333333,5.2,34.91,0
T4j7HPEtdT8,7,0.11711428571428573,0.1531,0.43729755479372556,0.5714285714285714,0.2857142857142857,6.3,126.59,0
TatBVxE53ek,3,0.15353333333333333,0.0,0.26592753398874164,0.3333333333333333,0.0,6.2,6.86,0
TsBh2bZUWJc,100,0.232791,0.15785,0.451929089614061,0.55,0.14,6.4,55.12,0
Tu4E_HG-MKk,4,0.089825,0.11315,0.30417384694721317,0.5,0.25,6.7,24.09,0
TxpTyC5Wqho,9,0.0108888888888889,0.0,0.5410926040070324,0.3333333333333333,0.3333333333333333,6.5,75.31,0
UMDxzR5uazQ,15,0.09447333333333333,0.0,0.3840669016621726,0.26666666666666666,0.06666666666666667,8.0,100.5,1
UZjKrI-bmzE,46,-0.043641304347826086,0.0,0.4468495155971101,0.30434782608695654,0.34782608695652173,5.9,0.01,0
Uc08ep74lIA,8,0.3592875,0.49305,0.5016300242708763,0.625,0.125,7.1,43.02,0
UhSSiFELmIY,100,0.17849900000000002,0.0,0.40675447996142206,0.42,0.17,6.2,336.53,0
Ut9xi-ep2mg,93,0.18146881720430108,0.0,0.4084382019081144,0.43010752688172044,0.12903225806451613,6.4,336.03,0
Ve4Tlz8cvgI,7,0.15339999999999998,0.2263,0.43043973252167755,0.5714285714285714,0.14285714285714285,5.4,63.03,0
VeY_ZFhPGGQ,2,0.0,0.0,0.0,0.0,0.0,8.0,183.64,1
Vl5NDNYyxzQ,14,0.3802214285714286,0.36985,0.4007653182034659,0.6428571428571429,0.07142857142857142,8.3,151.06,1
W-o_OV9zMFw,11,0.3649909090909091,0.3612,0.43101060185231055,0.7272727272727273,0.09090909090909091,5.8,17.36,0
WA8RyshH4Y8,25,-0.002944,0.0,0.4312423304438778,0.32,0.28,7.9,532.17,1
WOuKLtSVFcY,100,0.182104,0.0,0.5207434811067263,0.48,0.24,6.5,75.31,0
WP_L1I4lmFE,100,0.11844099999999999,0.0,0.44101228277061094,0.34,0.18,7.4,486.29,0
X8LwT6OWQwY,100,0.288673,0.3071,0.39852810804258204,0.54,0.11,6.5,0.81,0
XufgfkUFFiw,14,0.07603571428571428,0.1591,0.5098170948142433,0.5,0.2857142857142857,6.4,67.24,0
Y-MlEmrUzB8,100,0.124111,0.0,0.4848663831136754,0.47,0.28,5.3,128.34,0
YDbCo8zK0sE,6,0.25758333333333333,0.21075,0.2941277573889732,0.5,0.0,5.3,19.64,0
YaiHqILhsE8,100,-0.054561,0.0,0.4469190415229112,0.28,0.4,6.7,330.25,0
YiLIs-vUCH8,35,0.05712571428571429,0.0,0.45162862824309474,0.34285714285714286,0.2857142857142857,6.2,325.02,0
